Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,Price
Holden,2010.0,Captiva,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,Red / -,4 cyl,SUV, 4 Doors, 7 Seats,6999
Mitsubishi,2017.0,Outlander,SUV,USED,Automatic,"4 cyl, 2.3 L",AWD,Diesel,Brown / Black,4 cyl,SUV, 4 Doors, 7 Seats,28400
Ford,2016.0,Mustang,Coupe,USED,Automatic,"8 cyl, 5 L",Rear,Premium,Grey / Black,8 cyl,Coupe, 2 Doors, 4 Seats,45990
Hyundai,2016.0,Santa,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Black / -,4 cyl,SUV, 4 Doors, 7 Seats,25999
Toyota,2021.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,Silver / -,4 cyl,SUV, 5 Doors, 5 Seats,45988
Toyota,2018.0,Yaris,Hatchback,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,White / Black  Cloth,4 cyl,Hatchback, 5 Doors, 5 Seats,19990
Audi,2016.0,A4,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Premium,Grey / -,4 cyl,Sedan, 4 Doors, 5 Seats,38990
Mitsubishi,2014.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,14913
Toyota,2012.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,Blue / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,33990
Kia,2013.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,- / -,4 cyl,SUV, 4 Doors, 7 Seats,19999
BMW,2018.0,118I,Hatchback,USED,Automatic,"3 cyl, 1.5 L",Rear,Premium,Black / Black,3 cyl,Hatchback, 5 Doors, 5 Seats,33900
Ford,2018.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,Blue / -,5 cyl,Ute / Tray, 4 Doors, 5 Seats,43990
Ram,2022.0,1500,Ute / Tray,USED,Automatic,"8 cyl, 5.7 L",4WD,Premium,White / -,8 cyl,Ute / Tray, 4 Doors, 5 Seats,96986
Honda,2016.0,Jazz,Hatchback,USED,Manual,"4 cyl, 1.5 L",Front,Unleaded,Blue / -,4 cyl,Hatchback, 5 Doors, 5 Seats,16999
Suzuki,2006.0,Swift,Hatchback,USED,Manual,"4 cyl, 1.5 L",Front,Unleaded,Black / -,4 cyl,Hatchback, 5 Doors, 5 Seats,7995
Audi,2022.0,Q3,SUV,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,61990
Mercedes-Benz,2018.0,C200,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Hybrid,Silver / -,4 cyl,Sedan, 4 Doors, 4 Seats,39888
Hyundai,2018.0,I30,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Silver / Black,4 cyl,Hatchback, 4 Doors, 5 Seats,21999
Peugeot,2021.0,3008,SUV,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,Blue / Black,4 cyl,SUV, 4 Doors, 5 Seats,37575
Suzuki,2022.0,Vitara,SUV,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,Silver / Black,4 cyl,SUV, 4 Doors, 5 Seats,33990
Volkswagen,2020.0,Polo,Hatchback,USED,Manual,"3 cyl, 1 L",Front,Premium,White / -,3 cyl,Hatchback, 5 Doors, 5 Seats,19990
Mercedes-Benz,2017.0,CLA45,Sedan,USED,Automatic,"4 cyl, 2 L",AWD,Premium,White / Black,4 cyl,Sedan, 4 Doors, 5 Seats,49888
Holden,2005.0,Caprice,Sedan,USED,Automatic,"8 cyl, 5.7 L",Rear,Unleaded,White / Grey,8 cyl,Sedan, 4 Doors, 5 Seats,9950
Hyundai,2010.0,Getz,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,Silver / -,4 cyl,Hatchback, 5 Doors, 5 Seats,7999
Subaru,2016.0,XV,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,Black / -,4 cyl,SUV, 4 Doors, 5 Seats,20999
Mitsubishi,2018.0,Outlander,SUV,USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,Grey / -,4 cyl,SUV, 4 Doors, 7 Seats,28999
Nissan,2018.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,Blue / Black,4 cyl,SUV, 4 Doors, 5 Seats,26990
Tesla,2022.0,Model,Sedan,USED,Automatic,0 L,Rear,Electric,White / -,0 L,Sedan, 4 Doors, 5 Seats,62990
Mercedes-Benz,2017.0,CLA250,Sedan,USED,Automatic,"4 cyl, 2 L",AWD,Premium,White / Black,4 cyl,Sedan, 4 Doors, 5 Seats,39990
Audi,2021.0,A1,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Premium,Blue / Silver And Black Silk Nappa,4 cyl,Hatchback, 5 Doors, 5 Seats,40990
BMW,2012.0,X5,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,- / -,6 cyl,SUV, 4 Doors, 5 Seats,19990
Kia,2010.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Silver / -,4 cyl,SUV, 4 Doors, 7 Seats,11999
GWM,2022.0,Haval,"Ralph D'Silva GWM, Haval and Nissan",DEMO,Automatic,"4 cyl, 2 L",AWD,Premium,Blue / -,4 cyl,SUV, 4 Doors, 5 Seats,43490
Honda,2017.0,Civic,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,White / -,4 cyl,Sedan, 4 Doors, 5 Seats,24999
Mazda,2023.0,CX-3,Rockdale Mazda New,NEW,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black Leather,4 cyl,SUV, 4 Doors, 5 Seats,41688
Toyota,2022.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,White / Black,4 cyl,SUV, 5 Doors, 5 Seats,56990
Mercedes-Benz,2015.0,GLA250,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,White / -,4 cyl,SUV, 4 Doors, 5 Seats,34990
MG,2023.0,ZST,Alto Blacktown MG,NEW,Automatic,"3 cyl, 1.3 L",Front,-,White / Black,3 cyl,SUV, 5 Doors, 5 Seats,34990
GWM,2022.0,Haval,SUV,USED,Automatic,"4 cyl, 1.5 L",Front,Hybrid,White / -,4 cyl,SUV, 4 Doors, 5 Seats,35990
Ford,2011.0,Fiesta,Sedan,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,- / -,4 cyl,Sedan, 4 Doors, 5 Seats,9990
Honda,2005.0,Accord,Sedan,USED,Automatic,"4 cyl, 2.4 L",Front,Premium,Grey / -,4 cyl,Sedan, 4 Doors, 5 Seats,7500
Toyota,2004.0,Landcruiser,SUV,USED,Automatic,"8 cyl, 4.7 L",4WD,Unleaded,Silver / -,8 cyl,SUV, 4 Doors, 8 Seats,14913
Hyundai,2022.0,Santa,Westpoint Autos Hyundai New Cars,DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Grey / Black,4 cyl,SUV, 4 Doors, 7 Seats,64777
Toyota,2018.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,White / -,4 cyl,SUV, 4 Doors, 7 Seats,49999
Hyundai,2020.0,Kona,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Silver / Black,4 cyl,SUV, 4 Doors, 5 Seats,26980
Audi,2022.0,A5,DEMO,DEMO,-,"4 cyl, 2 L",AWD,Hybrid,White / Black/Black,4 cyl,Coupe, 2 Doors, 4 Seats,99490
MG,2023.0,ZS,Alto Blacktown MG,NEW,Automatic,"4 cyl, 1.5 L",Front,-,Silver / Knight Black Synthetic Leather,4 cyl,SUV, 4 Doors, 5 Seats,24690
LDV,2021.0,G10+,Commercial,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,White / -,4 cyl,Commercial, 4 Doors, 2 Seats,30990
Ford,2021.0,Mustang,Hatchback,USED,Manual,"8 cyl, 5 L",Rear,Premium,Silver / Leather,8 cyl,Hatchback, 2 Doors, 4 Seats,69990
Volkswagen,2019.0,Amarok,Ute / Tray,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,White / Black,6 cyl,Ute / Tray, 4 Doors, 5 Seats,51888
Hyundai,2018.0,I30,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Red / Black,4 cyl,Hatchback, 4 Doors, 5 Seats,22999
Hyundai,2021.0,I30,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,26990
Nissan,2018.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,Silver / -,4 cyl,SUV, 4 Doors, 5 Seats,23888
MG,2022.0,HS,SUV,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,35950
Mercedes-Benz,2016.0,C250,Sedan,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,White / -,4 cyl,Sedan, 4 Doors, 5 Seats,39800
Holden,2017.0,Colorado,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,22990
Renault,2019.0,Kangoo,Commercial,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,White / Black,4 cyl,Commercial, 3 Doors, 2 Seats,25990
Hyundai,2017.0,Elantra,Sedan,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,White / 2017/07,4 cyl,Sedan, 4 Doors, 5 Seats,25950
Holden,2007.0,Astra,Hatchback,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,Red / Grey,4 cyl,Hatchback, 5 Doors, 5 Seats,5999
Volkswagen,2021.0,Golf,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,Grey / Grey,4 cyl,Hatchback, 5 Doors, 5 Seats,39990
GWM,2023.0,UTE,Dominelli GWM,NEW,Automatic,"4 cyl, 2 L",4WD,Diesel,Black / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,46888
Holden,2016.0,Cruze,Hatchback,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,White / Grey,4 cyl,Hatchback, 5 Doors, 5 Seats,11990
Ford,2018.0,Everest,SUV,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,Grey / Black Leather,5 cyl,SUV, 4 Doors, 7 Seats,57999
Volkswagen,2014.0,Tiguan,SUV,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,Black / -,4 cyl,SUV, 4 Doors, 5 Seats,16888
Mazda,2016.0,6,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,Red / -,4 cyl,Sedan, 4 Doors, 5 Seats,25766
Jeep,2020.0,Wrangler,SUV,USED,Automatic,"4 cyl, 2.1 L",4WD,Diesel,Green / Tan,4 cyl,SUV, 4 Doors, 5 Seats,74990
Mini,2023.0,Countryman,Mini Garage Sydney - New Cars,DEMO,Automatic,"4 cyl, 2 L",4WD,Premium,- / Carbon Black Dinamica/Leather,4 cyl,SUV, 5 Doors, 5 Seats,75990
Mitsubishi,2018.0,Pajero,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,Grey / Black,4 cyl,SUV, 4 Doors, 7 Seats,41750
Mini,2006.0,Cooper,Hatchback,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,Red / -,4 cyl,Hatchback, 2 Doors, 4 Seats,12995
Renault,2022.0,Arkana,Rex Gorell New Cars,DEMO,Automatic,"4 cyl, 1.3 L",Front,Unleaded,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,43990
Toyota,2019.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,Blue / -,4 cyl,Sedan, 4 Doors, 5 Seats,32989
Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,White / Grey,4 cyl,Ute / Tray, 2 Doors, 4 Seats,33888
Holden,2014.0,Cruze,Sedan,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,Red / Black,4 cyl,Sedan, 4 Doors, 5 Seats,12752
Toyota,2020.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,Silver / Black,4 cyl,SUV, 5 Doors, 5 Seats,53888
Ford,2016.0,Ranger,Ute / Tray,USED,Automatic,"4 cyl, 2.2 L",Rear,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,26990
Holden,2017.0,Trailblazer,SUV,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,Silver / -,4 cyl,SUV, 4 Doors, 7 Seats,38690
Holden,2011.0,Caprice,Sedan,USED,Automatic,"8 cyl, 6 L",Rear,Premium,Blue / -,8 cyl,Sedan, 4 Doors, 5 Seats,10800
LDV,2019.0,T60,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,27990
Volvo,2017.0,S60,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Premium,Blue / -,4 cyl,Sedan, 4 Doors, 5 Seats,26890
GWM,2023.0,Haval,Kedron Haval & Great Wall Online,NEW,Automatic,"4 cyl, 1.5 L",Front,Premium,Red / Charcoal,4 cyl,SUV, 4 Doors, 5 Seats,37485
Audi,2015.0,Q5,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,Black / -,4 cyl,SUV, 4 Doors, 5 Seats,26800
Hyundai,2018.0,Tucson,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,21990
Aston,2010.0,Martin,Convertible,USED,Automatic,"12 cyl, 5.9 L",Rear,Premium,- / Burgundy,12 cyl,Convertible, 2 Doors, 4 Seats,119990
Nissan,2018.0,Qashqai,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,23577
Mitsubishi,2012.0,Lancer,Hatchback,USED,Manual,"4 cyl, 2 L",Front,Unleaded,Grey / -,4 cyl,Hatchback, 5 Doors, 5 Seats,10990
Hyundai,2017.0,I30,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,White / -,4 cyl,Hatchback, 4 Doors, 5 Seats,23990
Isuzu,2017.0,D-MAX,Ute / Tray,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,White / -,4 cyl,Ute / Tray, 2 Doors, 2 Seats,25950
Mazda,2023.0,CX-8,Sutherland Mazda New Cars,DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,White / -,4 cyl,SUV, 4 Doors, 7 Seats,68800
Hyundai,2015.0,Tucson,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,Blue / -,4 cyl,SUV, 4 Doors, 5 Seats,25990
Hyundai,2018.0,Iload,Commercial,USED,Manual,"4 cyl, 2.5 L",Rear,Diesel,White / Grey,4 cyl,Commercial, 4 Doors, 3 Seats,32990
Holden,2003.0,Cruze,SUV,USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,Blue / -,4 cyl,SUV, 4 Doors, 5 Seats,5688
Volkswagen,2021.0,Tiguan,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,Silver / -,4 cyl,SUV, 4 Doors, 7 Seats,54800
Ford,2010.0,Fiesta,Sedan,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,Orange / -,4 cyl,Sedan, 4 Doors, 5 Seats,7990
Hyundai,2011.0,I20,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,Blue / -,4 cyl,Hatchback, 5 Doors, 5 Seats,10995
Nissan,2009.0,Navara,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,14990
Toyota,2002.0,RAV4,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Unleaded,Silver / -,4 cyl,SUV, 4 Doors, 5 Seats,7888
Ram,2020.0,1500,Ute / Tray,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,Grey / Black,6 cyl,Ute / Tray, 4 Doors, 5 Seats,89990
Mazda,2014.0,6,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,Silver / -,4 cyl,Sedan, 4 Doors, 5 Seats,17990
Kia,2022.0,Stonic,SUV,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,Blue / -,4 cyl,SUV, 4 Doors, 5 Seats,22885
Toyota,2013.0,Hilux,Ute / Tray,USED,Manual,"4 cyl, 2.7 L",Rear,Unleaded,White / -,4 cyl,Ute / Tray, 2 Doors, 3 Seats,13995
Nissan,2013.0,Dualis,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Blue / Grey,4 cyl,SUV, 4 Doors, 5 Seats,12999
Hyundai,2007.0,Accent,Sedan,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,Blue / -,4 cyl,Sedan, 4 Doors, 5 Seats,5000
Ford,2015.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,White / Grey,5 cyl,Ute / Tray, 4 Doors, 5 Seats,29990
Toyota,2018.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Grey,4 cyl,Hatchback, 5 Doors, 5 Seats,27989
Volkswagen,2023.0,Caddy,Alto Volkswagen New Cars,NEW,Manual,"4 cyl, 2 L",Front,Diesel,White / Black,4 cyl,Commercial, 2 Doors, 2 Seats,46887
Holden,2018.0,Colorado,Ute / Tray,USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,- / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,31990
Mazda,2007.0,3,Sedan,USED,Automatic,"4 cyl, 2.3 L",Front,Unleaded,Grey / -,4 cyl,Sedan, 4 Doors, 5 Seats,7750
Ford,2014.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,Blue / Grey,5 cyl,Ute / Tray, 4 Doors, 5 Seats,26990
Kia,2012.0,Grand,Wagon,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,Black / -,6 cyl,Wagon, 4 Doors, 8 Seats,10990
Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,White / Cloth,4 cyl,Ute / Tray, 4 Doors, 5 Seats,39888
MG,2022.0,HS,Brighton MG,NEW,Automatic,"4 cyl, 2 L",AWD,Unleaded,Blue / Black,4 cyl,SUV, 4 Doors, 5 Seats,39690
Toyota,2012.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,White / Black,6 cyl,SUV, 4 Doors, 7 Seats,23990
Hyundai,2017.0,Santa,SUV,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,Black / Black,6 cyl,SUV, 4 Doors, 7 Seats,31990
Hyundai,2004.0,Elantra,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Blue / Grey,4 cyl,Hatchback, 5 Doors, 5 Seats,2995
Lexus,2019.0,RX450H,SUV,USED,Automatic,"6 cyl, 3.5 L",AWD,Hybrid,White / -,6 cyl,SUV, 4 Doors, 5 Seats,79990
Nissan,2009.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 2 Doors, 2 Seats,17990
Ford,2009.0,Falcon,Sedan,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,Blue / Black,6 cyl,Sedan, 4 Doors, 5 Seats,12999
Holden,2013.0,Captiva,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Grey / -,4 cyl,SUV, 4 Doors, 7 Seats,12990
Suzuki,2017.0,Vitara,SUV,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,Black / Cloth,4 cyl,SUV, 4 Doors, 5 Seats,23890
Mazda,2007.0,6,Hatchback,USED,Automatic,"4 cyl, 2.3 L",Front,Premium,Black / -,4 cyl,Hatchback, 5 Doors, 5 Seats,7600
Holden,2012.0,Barina,Sedan,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,Blue / Grey,4 cyl,Sedan, 4 Doors, 5 Seats,11499
Subaru,2019.0,XV,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,29951
Jeep,2020.0,Wrangler,SUV,USED,Automatic,"4 cyl, 2.1 L",4WD,Diesel,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,88189
Mitsubishi,2017.0,ASX,SUV,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,White / Grey,4 cyl,SUV, 4 Doors, 5 Seats,22990
Kia,2010.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.3 L",Front,Unleaded,Brown / -,4 cyl,SUV, 4 Doors, 7 Seats,14999
Nissan,2021.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,Grey / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,49990
Holden,2010.0,Captiva,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,Grey / Black,4 cyl,SUV, 4 Doors, 7 Seats,11990
Volkswagen,2017.0,Tiguan,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,43990
Holden,2012.0,Colorado,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,White / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,24950
Volkswagen,2016.0,Polo,Hatchback,USED,Manual,"4 cyl, 1.2 L",Front,Premium,Blue / Black Cloth,4 cyl,Hatchback, 5 Doors, 5 Seats,17888
Chrysler,2012.0,300,Sedan,USED,Automatic,"6 cyl, 3.6 L",Rear,Premium,- / -,6 cyl,Sedan, 4 Doors, 5 Seats,21999
Audi,2014.0,Q7,SUV,USED,Automatic,"8 cyl, 4.1 L",AWD,Diesel,Black / -,8 cyl,SUV, 4 Doors, 7 Seats,28999
Kia,2022.0,Picanto,Hatchback,USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,White / -,4 cyl,Hatchback, 5 Doors, 5 Seats,18987
Holden,2014.0,Trax,SUV,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,Blue / Black Leather,4 cyl,SUV, 4 Doors, 5 Seats,10999
Volvo,2022.0,XC60,REX GORELL VOLVO New,DEMO,Automatic,"4 cyl, 2 L",AWD,Premium,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,97990
Ford,2012.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,White / Grey  Cloth,5 cyl,Ute / Tray, 4 Doors, 5 Seats,23999
Volkswagen,2021.0,Tiguan,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,Silver / -,4 cyl,SUV, 4 Doors, 5 Seats,43888
Jeep,2015.0,Wrangler,SUV,USED,Automatic,"6 cyl, 3.6 L",4WD,Unleaded,Black / -,6 cyl,SUV, 2 Doors, 4 Seats,39464
Audi,2022.0,A3,Sedan,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,White / Black,4 cyl,Sedan, 4 Doors, 5 Seats,47880
Kia,2020.0,Carnival,Wagon,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,Grey / -,6 cyl,Wagon, 4 Doors, 8 Seats,39990
Kia,2023.0,Picanto,Hatchback,USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,White / -,4 cyl,Hatchback, 5 Doors, 5 Seats,22990
Toyota,2004.0,Hilux,Ute / Tray,USED,Manual,"4 cyl, 3 L",4WD,Diesel,Red / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,16999
Toyota,2009.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,Black / Grey,4 cyl,SUV, 4 Doors, 7 Seats,26990
Mazda,2019.0,CX-9,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,Red / 2019/08,4 cyl,SUV, 4 Doors, 7 Seats,44450
Holden,2015.0,Commodore,Sedan,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,Black / -,6 cyl,Sedan, 4 Doors, 5 Seats,27770
Toyota,2015.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,Grey / Grey,4 cyl,Ute / Tray, 4 Doors, 5 Seats,44990
Mazda,2021.0,3,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,White / Grey,4 cyl,Sedan, 4 Doors, 5 Seats,37990
Nissan,2016.0,Qashqai,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Grey / Black,4 cyl,SUV, 4 Doors, 5 Seats,21990
Toyota,2020.0,Hilux,Ute / Tray,USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,White / Grey,4 cyl,Ute / Tray, 4 Doors, 5 Seats,64888
Subaru,2018.0,Outback,SUV,USED,Automatic,"6 cyl, 3.6 L",AWD,Unleaded,Blue / Grey,6 cyl,SUV, 4 Doors, 5 Seats,41990
Hyundai,2013.0,IX35,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,- / -,4 cyl,SUV, 4 Doors, 5 Seats,16590
Mazda,2011.0,3,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Grey / Grey,4 cyl,Sedan, 4 Doors, 5 Seats,13999
Land,2017.0,Rover,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,Orange / Black,6 cyl,SUV, 4 Doors, 5 Seats,86990
Ford,2005.0,Falcon,Sedan,USED,Automatic,"8 cyl, 5.4 L",Rear,Unleaded,White / -,8 cyl,Sedan, 4 Doors, 5 Seats,14990
Toyota,2018.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,Red / -,4 cyl,Hatchback, 5 Doors, 5 Seats,24925
Mitsubishi,2020.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.4 L",Rear,Unleaded,Silver / Black,4 cyl,Ute / Tray, 2 Doors, 2 Seats,25990
Jeep,2023.0,Gladiator,Miedecke Motor Group - New,NEW,Automatic,"6 cyl, 3.6 L",4WD,Unleaded,Green / -,6 cyl,Ute / Tray, 4 Doors, 5 Seats,91888
Toyota,2014.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,Bronze / -,4 cyl,Hatchback, 5 Doors, 5 Seats,16989
Holden,2011.0,Cruze,Sedan,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,Blue / -,4 cyl,Sedan, 4 Doors, 5 Seats,7999
Nissan,2015.0,Pulsar,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,Silver / -,4 cyl,Sedan, 4 Doors, 5 Seats,7865
Suzuki,2008.0,Grand,SUV,USED,Automatic,"6 cyl, 2.7 L",4WD,Unleaded,Blue / Cloth,6 cyl,SUV, 4 Doors, 5 Seats,11790
Ford,2018.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,White / -,5 cyl,Ute / Tray, 4 Doors, 5 Seats,49990
BMW,2018.0,X3,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,White / Brown,4 cyl,SUV, 4 Doors, 5 Seats,49990
