Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,Price
MG,2021.0,ZS,SUV,USED,Automatic,0 L,Front,Electric,Blue / Black,0 L,SUV, 4 Doors, 5 Seats,31990
LDV,2017.0,T60,Ute / Tray,USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,Grey / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,24999
GWM,2022.0,Haval,"Westpoint Haval, GWM, Mahindra, SsangYong",NEW,Automatic,"4 cyl, 1.5 L",Front,Hybrid,Red / -,4 cyl,SUV, 4 Doors, 5 Seats,41485
Holden,2016.0,Captiva,SUV,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,Silver / Black,4 cyl,SUV, 4 Doors, 5 Seats,12990
Mazda,2010.0,CX-7,SUV,USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,Black / Leather,4 cyl,SUV, 4 Doors, 5 Seats,11669
Nissan,2022.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,Grey / Grey,4 cyl,SUV, 4 Doors, 5 Seats,38990
Honda,2007.0,CR-V,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,White / Beige  Leather,4 cyl,SUV, 4 Doors, 5 Seats,11990
Toyota,2021.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,Silver / -,4 cyl,Sedan, 4 Doors, 5 Seats,57895
Toyota,2020.0,RAV4,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / -,4 cyl,SUV, 5 Doors, 5 Seats,38995
Honda,2011.0,Jazz,Hatchback,USED,Manual,"4 cyl, 1.3 L",Front,Unleaded,Grey / -,4 cyl,Hatchback, 5 Doors, 5 Seats,8000
MG,2021.0,MG3,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,White / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,16990
Hyundai,2019.0,Tucson,SUV,USED,Automatic,"4 cyl, 1.6 L",AWD,Unleaded,Black / -,4 cyl,SUV, 4 Doors, 5 Seats,38999
Toyota,2023.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,White / Black,4 cyl,SUV, 5 Doors, 5 Seats,65888
Mazda,2009.0,3,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,Grey / Black,4 cyl,Sedan, 4 Doors, 5 Seats,13980
Kia,2020.0,Cerato,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black One Tone,4 cyl,Hatchback, 5 Doors, 5 Seats,22888
